Month,Average CNY/CZK=,Min CNY/CZK=,Max CNY/CZK=,Nb of working days
9/2004,3.127729,3.085096,3.188549,22
8/2004,3.141903,3.083596,3.205771,22
7/2004,3.110165,3.037685,3.191895,22
6/2004,3.148304,3.069354,3.197495,22
5/2004,3.220601,3.134992,3.296282,21
4/2004,3.281132,3.214886,3.344035,20
3/2004,3.253061,3.144533,3.288515,23
2/2004,3.142010,3.075450,3.225541,20
1/2004,3.137615,3.069424,3.253701,21
12/2003,3.182457,3.102917,3.277283,21
11/2003,3.304797,3.232628,3.379890,20
10/2003,3.308366,3.274231,3.336861,23
9/2003,3.488950,3.304621,3.632167,22
8/2003,3.506246,3.413159,3.634940,21
7/2003,3.390210,3.306495,3.462351,23
6/2003,3.257207,3.196386,3.347972,21
5/2003,3.277823,3.191587,3.372430,21
4/2003,3.525095,3.414650,3.608715,20
3/2003,3.553531,3.466271,3.620021,21
2/2003,3.551549,3.516431,3.591992,20
1/2003,3.585458,3.488826,3.661113,22
12/2002,3.705843,3.640945,3.775426,20
11/2002,3.713716,3.647991,3.769720,21
10/2002,3.778948,3.712298,3.836401,23
9/2002,3.722255,3.676301,3.807150,21
8/2002,3.808643,3.737919,3.871955,22
7/2002,3.623183,3.522973,3.748822,23
6/2002,3.836811,3.547805,3.947752,20
5/2002,4.029100,3.918306,4.099089,22
4/2002,4.141278,4.083658,4.234231,21
3/2002,4.338148,4.282976,4.402939,20
2/2002,4.418175,4.364716,4.470024,20
1/2002,4.390577,4.242065,4.483081,22
12/2001,4.407231,4.270002,4.502422,19
11/2001,4.530717,4.469895,4.578612,22
10/2001,4.478720,4.416057,4.568216,23
9/2001,4.534072,4.455415,4.658146,20
8/2001,4.573268,4.492410,4.678524,23
7/2001,4.759357,4.656749,4.898055,22
6/2001,4.812454,4.746300,4.866896,21
5/2001,4.755863,4.682747,4.875972,22
4/2001,4.686039,4.619154,4.751570,19
3/2001,4.600149,4.472982,4.730517,22
2/2001,4.545053,4.469576,4.634338,20
1/2001,4.527465,4.463931,4.617820,22
12/2000,4.695989,4.541800,4.799162,19
11/2000,4.887077,4.803517,4.951094,22
10/2000,4.982324,4.891023,5.102277,22
9/2000,4.915157,4.751847,5.058572,21
8/2000,4.729371,4.623350,4.802273,23
7/2000,4.582558,4.509934,4.692496,21
6/2000,4.583791,4.507509,4.677737,22
5/2000,4.879239,4.680943,4.971507,22
4/2000,4.639669,4.535618,4.834630,18
3/2000,4.467395,4.424321,4.584998,23
2/2000,4.388175,4.282848,4.464414,21
1/2000,4.295702,4.218778,4.420070,21
12/1999,4.312986,4.266304,4.352963,23
11/1999,4.254615,4.195221,4.324621,22
10/1999,4.136209,4.009217,4.235230,21
9/1999,4.181900,4.056143,4.273788,22
8/1999,4.155434,4.074334,4.234247,22
7/1999,4.264825,4.141741,4.368267,22
6/1999,4.699810,4.656394,4.744267,22
5/1999,4.589236,4.516258,4.664410,21
4/1999,4.556466,4.487997,4.609306,22
3/1999,4.481656,4.428902,4.561454,23
2/1999,4.352136,4.300041,4.446264,20
1/1999,4.200878,4.136647,4.284177,21
12/1998,3.678165,3.637989,3.704877,23
11/1998,3.701876,3.641154,3.755134,21
10/1998,3.610831,3.555961,3.659549,22
9/1998,3.735338,3.656878,3.840625,22
8/1998,3.912925,3.868303,3.947376,21
7/1998,3.927557,3.865077,3.989430,23
6/1998,3.913100,3.876514,3.964113,22
5/1998,3.888331,3.857157,3.916565,21
4/1998,3.952194,3.907227,4.027904,22
3/1998,3.975033,3.939691,4.005073,22
2/1998,3.960041,3.917348,3.994902,20
1/1998,3.960123,3.889036,4.008426,22
12/1997,4.319667,4.297507,4.353566,23
11/1997,4.215486,4.155320,4.286728,20
10/1997,4.287299,4.184538,4.343918,23
9/1997,4.366919,4.297776,4.444251,22
8/1997,4.477789,4.377813,4.577427,21
7/1997,4.348001,4.245424,4.473644,23
6/1997,4.225391,4.203363,4.258789,21
5/1997,4.182109,4.137564,4.238530,22
4/1997,4.194849,4.103379,4.243398,22
3/1997,4.173131,4.134038,4.220725,21
2/1997,4.120103,4.052173,4.184501,20
1/1997,3.945314,3.816796,4.071687,23
12/1996,3.426191,3.393397,3.448166,22
11/1996,3.354041,3.326798,3.391592,21
10/1996,3.403298,3.356536,3.430363,23
9/1996,3.373230,3.330900,3.409373,21
8/1996,3.334455,3.315130,3.354284,22
7/1996,3.367288,3.305367,3.411972,23
6/1996,3.413158,3.388354,3.432166,20
5/1996,3.428655,3.393753,3.460744,23
4/1996,3.375991,3.333649,3.426181,22
3/1996,3.334571,3.322049,3.350404,21
2/1996,3.324115,3.281540,3.366583,21
1/1996,3.310031,3.247265,3.383293,23
12/1995,3.002905,2.979379,3.025922,21
11/1995,2.959204,2.935912,3.000425,22
10/1995,2.962581,2.921237,2.990820,22
9/1995,3.039615,2.964834,3.086167,21
8/1995,3.007694,2.903879,3.093749,23
7/1995,2.917667,2.890852,2.945571,21
6/1995,2.947774,2.914553,3.003309,22
5/1995,2.965527,2.886008,3.050104,23
4/1995,2.885485,2.851768,2.927385,20
3/1995,2.934387,2.885458,3.020459,23
2/1995,3.068931,3.011296,3.116971,20
1/1995,3.109184,3.061236,3.157040,22
12/1994,3.107226,3.083081,3.129739,22
11/1994,3.024241,2.936101,3.088249,22
10/1994,2.979001,2.924982,3.046903,21
9/1994,3.039188,3.018893,3.088548,22
8/1994,3.050642,3.001042,3.091711,23
7/1994,3.034899,2.960723,3.085911,21
6/1994,3.125815,3.044831,3.198298,22
5/1994,3.176847,3.147717,3.217805,22
4/1994,3.226838,3.162548,3.263550,21
3/1994,3.223854,3.184065,3.266363,23
2/1994,3.293098,3.259489,3.333779,20
1/1994,3.305016,3.286436,3.324115,21
12/1993,5.372412,5.319997,5.441779,23
11/1993,5.383454,5.353066,5.413473,22
10/1993,5.230166,5.107174,5.370167,21
9/1993,5.165589,5.063191,5.295812,22
8/1993,5.379948,5.290328,5.491425,22
7/1993,5.368782,5.279355,5.485068,22
6/1993,5.176465,5.023493,5.331113,22
5/1993,5.056321,4.967923,5.145836,21
4/1993,5.049275,4.970259,5.120857,22
3/1993,5.212909,5.125674,5.286978,23
2/1993,5.153492,5.094028,5.216703,20
1/1993,5.040608,4.906381,5.136311,21
